infinitive,auxiliary,participle,wrong_aux,wrong_p1,wrong_p2,before_aux,before_participle,after_participle
verhören,haben,verhört,sind,verhöret,verhöriert,Sie , den Verdächtigen ,.
verhören,hat,verhört,ist,verhöret,verhöriert,Die Polizei , ihn stundenlang ,.
verschwinden,ist,verschwunden,hat,verschwindet,verschwundtet,Er , plötzlich ,.
verschwinden,ist,verschwunden,hat,verschwindet,verschwundtet,Mein Schlüssel , wieder ,.
wechseln,hat,gewechselt,ist,wechselt,gewechseltet,Sie , die Stelle ,.
wechseln,habe,gewechselt,bin,wechselt,gewechseltet,Ich , das Thema ,.
wechseln,haben,gewechselt,sind,wechselt,gewechseltet,Wir , die Wohnung ,.
warten,hat,gewartet,ist,wartet,gewartetest,Er , auf den Bus ,.
warten,habe,gewartet,bin,wartet,gewartetest,Ich , lange auf dich ,.
warten,haben,gewartet,sind,wartet,gewartetest,Wir , eine Stunde ,.
waschen,hat,gewaschen,ist,wäscht,gewaschtet,Sie , die Wäsche ,.
waschen,habe,gewaschen,bin,wäscht,gewaschtet,Ich , mir die Hände ,.
waschen,hast,gewaschen,bist,wäscht,gewaschtet,Du , das Auto ,.
wahrnehmen,hat,wahrgenommen,ist,wahrnimmt,wahrgenommtet,Er , die Veränderung ,.
wahrnehmen,habe,wahrgenommen,bin,wahrnimmt,wahrgenommtet,Ich , das kaum ,.
wohnen,hat,gewohnt,ist,wohnt,gewohntet,Sie , in Hamburg ,.
wohnen,habe,gewohnt,bin,wohnt,gewohntet,Ich , in Berlin ,.
wohnen,haben,gewohnt,sind,wohnt,gewohntet,Wir , zusammen ,.
